============================================================================================================================================
NO-RAG BASELINE — FINAL COMPARISON
============================================================================================================================================
Model + Config                                R-1    R-L   BLEU  METEOR    BERT   Halluc  ClmRt  Consist  Compl  AvgTime   <5s
--------------------------------------------------------------------------------------------------------------------------------------------
GPT-4o-mini [t=0.3 tok=400]                 0.247  0.178  0.029   0.198   0.868  149/219  0.561    0.439  0.616    1.53s  100%
GPT-4o-mini [t=0.1 tok=400 p=0.9]           0.247  0.175  0.030   0.198   0.867  145/219  0.553    0.447  0.622    1.67s  100%
GPT-4o-mini [t=0.1 tok=400]                 0.245  0.173  0.029   0.195   0.867  150/219  0.561    0.439  0.620    1.71s  100%
GPT-4o-mini [t=0.1 tok=200]                 0.242  0.172  0.028   0.192   0.867  146/219  0.549    0.451  0.612    1.79s  100%
GPT-4o-mini [t=0.0 tok=400]                 0.242  0.172  0.029   0.193   0.867  145/219  0.556    0.444  0.617    1.85s  100%
GPT-4o-mini [t=0.3 tok=200]                 0.244  0.171  0.029   0.192   0.866  143/219  0.563    0.437  0.607    1.55s  100%
GPT-4o-mini [t=0.0 tok=200]                 0.242  0.170  0.028   0.192   0.867  147/219  0.564    0.436  0.617    1.66s  100%
Gemini-2.5-Flash-Lite [t=0.1 tok=200]       0.202  0.156  0.046   0.139   0.857  156/219  0.595    0.405  0.373    1.23s   99%
Gemini-2.5-Flash-Lite [t=0.1 tok=400]       0.202  0.155  0.046   0.141   0.857  157/219  0.604    0.396  0.378    1.76s   97%
Gemini-2.5-Flash-Lite [t=0.3 tok=200]       0.200  0.155  0.048   0.139   0.857  160/219  0.597    0.403  0.366    2.06s   96%
Gemini-2.5-Flash-Lite [t=0.1 tok=400 p=0.9]  0.198  0.155  0.046   0.138   0.857  157/219  0.603    0.397  0.367    1.25s   98%
Llama-3.1-8B [t=0.3 tok=400]                0.185  0.154  0.038   0.155   0.858  162/219  0.537    0.463  0.446    0.46s  100%
Gemini-2.5-Flash-Lite [t=0.1 tok=200 p=0.9]  0.200  0.154  0.046   0.139   0.856  160/219  0.606    0.394  0.368    0.96s   99%
Gemini-2.5-Flash-Lite [t=0.3 tok=400]       0.200  0.153  0.046   0.141   0.857  160/219  0.608    0.392  0.384    1.30s   99%
Gemini-2.5-Flash-Lite [t=0.0 tok=200]       0.195  0.150  0.045   0.136   0.856  157/219  0.606    0.394  0.367    1.34s   99%
Gemini-2.5-Flash-Lite [t=0.0 tok=400]       0.195  0.150  0.045   0.136   0.856  157/219  0.606    0.394  0.367    1.43s   99%
Llama-3.1-8B [t=0.3 tok=200]                0.181  0.149  0.036   0.148   0.857  165/219  0.555    0.445  0.436    0.45s  100%
Qwen2.5-7B [t=0.0 tok=400]                  0.203  0.147  0.026   0.201   0.859  196/219  0.636    0.364  0.562    1.14s  100%
Qwen2.5-7B [t=0.3 tok=400]                  0.202  0.146  0.025   0.200   0.859  193/219  0.629    0.371  0.568    1.08s  100%
Qwen2.5-7B [t=0.1 tok=400 p=0.9]            0.203  0.145  0.026   0.201   0.860  197/219  0.640    0.360  0.566    1.08s  100%
Qwen2.5-7B [t=0.3 tok=200]                  0.201  0.145  0.026   0.192   0.858  194/219  0.636    0.364  0.540    1.06s  100%
Qwen2.5-7B [t=0.1 tok=400]                  0.202  0.144  0.026   0.205   0.860  200/219  0.643    0.357  0.573    1.14s  100%
Qwen2.5-7B [t=0.1 tok=200]                  0.201  0.143  0.025   0.205   0.859  197/219  0.639    0.361  0.568    1.22s  100%
Qwen2.5-7B [t=0.1 tok=200 p=0.9]            0.198  0.142  0.025   0.195   0.859  197/219  0.645    0.355  0.550    1.13s  100%
Qwen2.5-7B [t=0.0 tok=200]                  0.199  0.142  0.025   0.197   0.859  198/219  0.644    0.356  0.575    1.03s  100%
Llama-3.1-8B [t=0.1 tok=400 p=0.9]          0.167  0.140  0.036   0.142   0.853  167/219  0.588    0.412  0.390    0.46s  100%
Llama-3.1-8B [t=0.0 tok=200]                0.160  0.136  0.036   0.137   0.853  170/219  0.603    0.397  0.380    0.45s  100%
Llama-3.1-8B [t=0.0 tok=400]                0.161  0.136  0.037   0.137   0.853  170/219  0.608    0.392  0.378    0.45s  100%
Llama-3.1-8B [t=0.1 tok=200]                0.162  0.135  0.035   0.137   0.854  168/219  0.605    0.395  0.389    0.46s  100%
Llama-3.1-8B [t=0.1 tok=200 p=0.9]          0.159  0.131  0.034   0.136   0.852  164/219  0.601    0.400  0.383    0.51s  100%
Llama-3.1-8B [t=0.1 tok=400]                0.157  0.131  0.034   0.135   0.852  171/219  0.602    0.398  0.372    0.49s  100%
DeepSeek-R1-8B [t=0.1 tok=200 p=0.9]        0.106  0.089  0.012   0.164   0.835  187/219  0.668    0.332  0.738    3.91s  100%
DeepSeek-R1-8B [t=0.0 tok=200]              0.106  0.089  0.012   0.165   0.835  190/219  0.668    0.332  0.734    3.89s  100%
DeepSeek-R1-8B [t=0.3 tok=200]              0.104  0.087  0.011   0.157   0.835  181/219  0.680    0.320  0.729    3.86s  100%
DeepSeek-R1-8B [t=0.1 tok=400]              0.096  0.079  0.013   0.132   0.826  192/219  0.675    0.325  0.730    7.03s    0%
DeepSeek-R1-8B [t=0.1 tok=400 p=0.9]        0.092  0.076  0.012   0.130   0.825  185/219  0.666    0.334  0.720    6.78s    0%
DeepSeek-R1-8B [t=0.0 tok=400]              0.086  0.072  0.011   0.128   0.824  191/219  0.665    0.335  0.737    6.83s    0%
DeepSeek-R1-8B [t=0.3 tok=400]              0.080  0.067  0.009   0.126   0.824  197/219  0.692    0.308  0.722    6.66s    0%
Gemma-2-9b-it [t=0.0 tok=400]               0.076  0.065  0.014   0.065   0.835  191/219  0.845    0.155  0.310    2.14s  100%
Gemma-2-9b-it [t=0.0 tok=200]               0.074  0.063  0.014   0.068   0.835  191/219  0.842    0.158  0.310    2.16s   98%
Gemma-2-9b-it [t=0.1 tok=400]               0.070  0.059  0.013   0.059   0.834  192/219  0.854    0.146  0.289    2.05s   99%
Gemma-2-9b-it [t=0.1 tok=200]               0.069  0.058  0.013   0.060   0.834  196/219  0.859    0.141  0.294    2.28s   97%
Gemma-2-9b-it [t=0.1 tok=200 p=0.9]         0.067  0.058  0.012   0.057   0.834  200/219  0.867    0.133  0.282    2.07s   98%
Gemma-2-9b-it [t=0.1 tok=400 p=0.9]         0.069  0.057  0.011   0.062   0.834  194/219  0.856    0.144  0.298    2.08s   98%
Gemma-2-9b-it [t=0.3 tok=200]               0.061  0.053  0.012   0.058   0.833  196/219  0.871    0.129  0.274    2.04s   99%
Gemma-2-9b-it [t=0.3 tok=400]               0.057  0.049  0.009   0.048   0.833  197/219  0.877    0.123  0.264    1.93s   99%

Results saved to no_rag_baseline_results_gemma.json
PS D:\CODES\thesis>
